Event,Site,Date,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination
Rated bullet game,https://lichess.org/y84hsy99,2019.12.31,thomas123456,AlekhinesGunn,1-0,2019.12.31,15:45:14,1812,1722,+4,-5,Standard,60+0,B54,Normal
Rated bullet game,https://lichess.org/tFXyFBq9,2019.12.31,thomas123456,GavrVanAms,1-0,2019.12.31,15:43:07,1807,1677,+5,-4,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/MVoYBoVQ,2019.12.31,GavrVanAms,thomas123456,1-0,2019.12.31,15:40:56,1668,1816,+9,-9,Standard,60+0,D35,Time forfeit
Rated bullet game,https://lichess.org/M5962XnX,2019.12.31,thomas123456,GavrVanAms,0-1,2019.12.31,15:38:50,1825,1659,-9,+9,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/gLen0EqA,2019.12.31,GavrVanAms,thomas123456,1-0,2019.12.31,15:37:10,1649,1835,+10,-10,Standard,60+0,D35,Normal
Rated bullet game,https://lichess.org/0nOoLaza,2019.12.31,Castizo,thomas123456,1-0,2019.12.31,15:35:08,1819,1841,+7,-6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/IBxRciHZ,2019.12.31,jeancharleslenoir,thomas123456,1-0,2019.12.31,15:33:21,1872,1847,+6,-6,Standard,60+0,C25,Normal
Rated bullet game,https://lichess.org/kJL97Bzd,2019.12.31,thomas123456,Eldestructivo7216,0-1,2019.12.31,15:32:00,1852,1933,-5,+5,Standard,60+0,C51,Normal
Rated bullet game,https://lichess.org/94atouVz,2019.12.31,thomas123456,anas_1995,0-1,2019.12.31,15:30:24,1859,1830,-7,+7,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/HWZ4FS7c,2019.12.31,thomas123456,Reidtardo,1-0,2019.12.31,15:28:09,1853,1828,+6,-6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/otNAxdlV,2019.12.31,roubaix2015,thomas123456,1-0,2019.12.31,15:26:08,1968,1857,+5,-4,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/OaHr1RRb,2019.12.31,thomas123456,wahab_muntu,1-0,2019.12.31,15:23:47,1851,1858,+6,-6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/NcEIqH2v,2019.12.31,wahab_muntu,thomas123456,1-0,2019.12.31,15:22:04,1852,1857,+6,-6,Standard,60+0,D02,Normal
Rated bullet game,https://lichess.org/qGyEHlxx,2019.12.31,thomas123456,bimpfi29,1-0,2019.12.31,15:20:43,1850,1892,+7,-7,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/NtHe4EqQ,2019.12.31,thomas123456,shrey59,1-0,2019.12.31,15:19:17,1845,1779,+5,-5,Standard,60+0,C42,Normal
Rated bullet game,https://lichess.org/ZFDSwFRk,2019.12.31,thomas123456,houssam22261,0-1,2019.12.31,15:17:36,1850,1894,-5,+6,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/vxWWF7qs,2019.12.31,houssam22261,thomas123456,1-0,2019.12.31,15:15:30,1889,1856,+5,-6,Standard,60+0,C25,Time forfeit
Rated bullet game,https://lichess.org/dLZALpXO,2019.12.31,thomas123456,jam81,1-0,2019.12.31,15:13:24,1849,1859,+7,-7,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/9QwDfDbu,2019.12.31,kelk,thomas123456,1-0,2019.12.31,15:11:09,1913,1854,+6,-5,Standard,60+0,D04,Time forfeit
Rated bullet game,https://lichess.org/0J2fFppR,2019.12.31,PanKaj_KJ,thomas123456,1-0,2019.12.31,15:09:04,1915,1860,+6,-6,Standard,60+0,C46,Normal
Rated bullet game,https://lichess.org/HpKaMsRA,2019.12.31,thomas123456,PanKaj_KJ,0-1,2019.12.31,15:06:41,1865,1909,-5,+6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/8EWs7EZq,2019.12.31,PanKaj_KJ,thomas123456,1-0,2019.12.31,15:04:27,1903,1871,+6,-6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/OcMJSir0,2019.12.31,thomas123456,PanKaj_KJ,0-1,2019.12.31,15:02:25,1877,1897,-6,+6,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/ciGdmETr,2019.12.31,PanKaj_KJ,thomas123456,1-0,2019.12.31,15:00:20,1891,1883,+6,-6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/lWGfifkj,2019.12.31,thomas123456,PanKaj_KJ,0-1,2019.12.31,14:58:08,1889,1884,-6,+7,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/uXss3C6L,2019.12.31,PanKaj_KJ,thomas123456,0-1,2019.12.31,14:55:40,1891,1883,-7,+6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/Iz1qiMzV,2019.12.31,thomas123456,PanKaj_KJ,1-0,2019.12.31,14:53:12,1876,1898,+7,-7,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/Uo9KhZSG,2019.12.31,PanKaj_KJ,thomas123456,1-0,2019.12.31,14:51:55,1891,1882,+7,-6,Standard,60+0,C46,Normal
Rated bullet game,https://lichess.org/S8AAOc0e,2019.12.31,thomas123456,PanKaj_KJ,0-1,2019.12.31,14:49:48,1888,1885,-6,+6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/zbttuZ0j,2019.12.31,PanKaj_KJ,thomas123456,1-0,2019.12.31,14:47:18,1878,1895,+7,-7,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/qFQQpYQm,2019.12.31,thomas123456,PanKaj_KJ,0-1,2019.12.31,14:45:09,1902,1871,-7,+7,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/kdMpaze6,2019.12.31,PanKaj_KJ,thomas123456,0-1,2019.12.31,14:42:43,1877,1896,-6,+6,Standard,60+0,C20,Time forfeit
Rated bullet game,https://lichess.org/Hff0nxzk,2019.12.31,thomas123456,PanKaj_KJ,1-0,2019.12.31,14:41:14,1889,1883,+7,-6,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/eyBV4SLj,2019.12.31,PanKaj_KJ,thomas123456,0-1,2019.12.31,14:39:11,1889,1883,-6,+6,Standard,60+0,C46,Normal
Rated bullet game,https://lichess.org/rEycx2ZL,2019.12.31,thomas123456,PanKaj_KJ,1-0,2019.12.31,14:36:40,1876,1896,+7,-7,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/ODtZbjLu,2019.12.31,PanKaj_KJ,thomas123456,1-0,2019.12.31,14:34:38,1890,1882,+6,-6,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/43vdmuws,2019.12.31,thomas123456,PanKaj_KJ,0-1,2019.12.31,14:33:14,1888,1883,-6,+7,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/U2gJKg1R,2019.12.31,PanKaj_KJ,thomas123456,0-1,2019.12.31,14:31:08,1890,1882,-7,+6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/epyX2f6p,2019.12.31,thomas123456,PanKaj_KJ,0-1,2019.12.31,14:29:05,1888,1883,-6,+7,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/3RNMME8u,2019.12.31,thomas123456,atka123,1-0,2019.12.31,14:27:27,1881,1927,+7,-7,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/CFHG0kzn,2019.12.31,atka123,thomas123456,1-0,2019.12.31,14:25:38,1921,1886,+6,-5,Standard,60+0,D58,Normal
Rated bullet game,https://lichess.org/1w3IA7kS,2019.12.31,Mani_1386,thomas123456,0-1,2019.12.31,14:24:23,1871,1880,-6,+6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/88ULqx01,2019.12.31,thomas123456,Eggapegga,1-0,2019.12.31,14:22:29,1873,1893,+7,-7,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/G48ieo5E,2019.12.31,matej17,thomas123456,0-1,2019.12.31,14:20:56,1864,1867,-6,+6,Standard,60+0,C46,Normal
Rated bullet game,https://lichess.org/Z1rfZuZ3,2019.12.31,thomas123456,Sakumo22,1-0,2019.12.31,14:19:12,1860,1860,+7,-6,Standard,60+0,C58,Normal
Rated bullet game,https://lichess.org/athU9Lj3,2019.12.31,nudeoldman,thomas123456,1-0,2019.12.31,14:17:35,1926,1866,+6,-6,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/2cGRt47a,2019.12.31,thomas123456,nudeoldman,1/2-1/2,2019.12.31,14:15:33,1864,1927,+2,-1,Standard,60+0,C51,Time forfeit
Rated bullet game,https://lichess.org/Zunf1KXF,2019.12.31,nudeoldman,thomas123456,0-1,2019.12.31,14:13:40,1935,1857,-8,+7,Standard,60+0,C30,Time forfeit
Rated bullet game,https://lichess.org/xO8cYUq5,2019.12.31,thomas123456,nudeoldman,0-1,2019.12.31,14:13:04,1862,1930,-5,+5,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/JDjdIRcs,2019.12.31,nudeoldman,thomas123456,0-1,2019.12.31,14:11:21,1938,1854,-8,+8,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/SZSGynRA,2019.12.31,thomas123456,nudeoldman,0-1,2019.12.31,14:09:27,1859,1932,-5,+6,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/OVH3j6eF,2019.12.31,nudeoldman,thomas123456,1/2-1/2,2019.12.31,14:07:47,1934,1857,-2,+2,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/EQFqqGjb,2019.12.31,thomas123456,nudeoldman,0-1,2019.12.31,14:06:22,1862,1928,-5,+6,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/TmJPG0E4,2019.12.31,nudeoldman,thomas123456,0-1,2019.12.31,14:04:41,1936,1854,-8,+8,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/4f3iIyUq,2019.12.31,thomas123456,nudeoldman,0-1,2019.12.31,14:03:47,1859,1931,-5,+5,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/eoMDh7A6,2019.12.31,nudeoldman,thomas123456,1-0,2019.12.31,14:01:49,1926,1865,+5,-6,Standard,60+0,C30,Time forfeit
Rated bullet game,https://lichess.org/qfk0Pzds,2019.12.31,thomas123456,nudeoldman,0-1,2019.12.31,14:00:20,1870,1920,-5,+6,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/vSCPoDBl,2019.12.31,nudeoldman,thomas123456,0-1,2019.12.31,13:59:24,1927,1862,-7,+8,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/RdIvrVkG,2019.12.31,thomas123456,nudeoldman,1-0,2019.12.31,13:57:55,1854,1935,+8,-8,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/6lXil1oj,2019.12.31,nudeoldman,thomas123456,0-1,2019.12.31,13:56:39,1943,1846,-8,+8,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/I2isNbWr,2019.12.31,thomas123456,nudeoldman,0-1,2019.12.31,13:54:34,1851,1938,-5,+5,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/qLPNiNpI,2019.12.31,nudeoldman,thomas123456,1-0,2019.12.31,13:53:30,1933,1856,+5,-5,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/bnoOLTCv,2019.12.31,thomas123456,nudeoldman,1-0,2019.12.31,13:51:30,1848,1941,+8,-8,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/jzvErZZl,2019.12.31,nudeoldman,thomas123456,1-0,2019.12.31,13:50:26,1936,1852,+5,-4,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/G7cNf6ZF,2019.12.31,thomas123456,nudeoldman,1-0,2019.12.31,13:48:26,1844,1944,+8,-8,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/NZ6UyiVK,2019.12.31,nudeoldman,thomas123456,1-0,2019.12.31,13:46:29,1939,1849,+5,-5,Standard,60+0,C30,Time forfeit
Rated bullet game,https://lichess.org/hvnvkddd,2019.12.31,thomas123456,nudeoldman,1/2-1/2,2019.12.31,13:44:40,1847,1941,+2,-2,Standard,60+0,C25,Normal
Rated bullet game,https://lichess.org/DqHmto4l,2019.12.31,nudeoldman,thomas123456,1-0,2019.12.31,13:43:25,1936,1852,+5,-5,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/iTw5juvJ,2019.12.31,thomas123456,nudeoldman,0-1,2019.12.31,13:41:21,1857,1931,-5,+5,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/cXQp4aiu,2019.12.31,nudeoldman,thomas123456,1-0,2019.12.31,13:40:31,1926,1862,+5,-5,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/v3L834Ux,2019.12.31,thomas123456,nudeoldman,0-1,2019.12.31,13:38:31,1868,1920,-6,+6,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/YctSannR,2019.12.31,nudeoldman,thomas123456,0-1,2019.12.31,13:37:02,1928,1860,-8,+8,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/LM0mOho1,2019.12.31,thomas123456,nudeoldman,1-0,2019.12.31,13:35:28,1852,1935,+8,-7,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/3YfLXToI,2019.12.31,nudeoldman,thomas123456,1-0,2019.12.31,13:33:25,1930,1857,+5,-5,Standard,60+0,C30,Time forfeit
Rated bullet game,https://lichess.org/hFjI9gUI,2019.12.31,krokodil_gena,thomas123456,1-0,2019.12.31,13:31:57,1857,1863,+7,-6,Standard,60+0,C44,Normal
Rated bullet game,https://lichess.org/878qAFL2,2019.12.31,thomas123456,Kapivara_GM,1-0,2019.12.31,13:31:29,1856,1873,+7,-7,Standard,60+0,B46,Normal
Rated bullet game,https://lichess.org/ZB965CI5,2019.12.31,thomas123456,bzkrntznsi,1-0,2019.12.31,13:29:58,1850,1824,+6,-6,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/bLOlhjrK,2019.12.31,bzkrntznsi,thomas123456,1-0,2019.12.31,13:27:55,1816,1857,+8,-7,Standard,60+0,C30,Time forfeit
Rated bullet game,https://lichess.org/xoflQM8y,2019.12.31,thomas123456,bzkrntznsi,0-1,2019.12.31,13:25:46,1865,1809,-8,+7,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/O9Uz6zbS,2019.12.31,thomas123456,CHANDNI2005,0-1,2019.12.31,13:23:09,1870,1907,-5,+5,Standard,60+0,B32,Time forfeit
Rated bullet game,https://lichess.org/NW5C0nka,2019.12.31,CHANDNI2005,thomas123456,0-1,2019.12.31,13:22:16,1914,1863,-7,+7,Standard,60+0,D02,Normal
Rated bullet game,https://lichess.org/Uh9M8l4O,2019.12.31,thomas123456,trust_xx19,0-1,2019.12.31,13:20:08,1868,1942,-5,+6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/xv09OG1U,2019.12.31,trust_xx19,thomas123456,1-0,2019.12.31,13:18:26,1937,1873,+5,-5,Standard,60+0,C20,Normal
Rated bullet game,https://lichess.org/jwrCARkQ,2019.12.31,thomas123456,JDL0,1-0,2019.12.31,13:16:31,1869,1760,+4,-5,Standard,60+0,B32,Time forfeit
Rated bullet game,https://lichess.org/5Beg1pZb,2019.12.31,dannybrasky,thomas123456,1-0,2019.12.31,13:14:37,1917,1874,+6,-5,Standard,60+0,C56,Normal
Rated bullet game,https://lichess.org/iFrt8qoK,2019.12.30,jwilliamarchitect,thomas123456,0-1,2019.12.30,17:16:43,1972,1866,-9,+8,Standard,60+0,D00,Normal
Rated bullet game,https://lichess.org/7Xyy9iY5,2019.12.30,thomas123456,jwilliamarchitect,1-0,2019.12.30,17:14:43,1857,1980,+9,-8,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/w37JackQ,2019.12.30,thomas123456,dearwish,0-1,2019.12.30,17:12:52,1861,1987,-4,+4,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/0e5VdhpF,2019.12.30,thomas123456,Nzfhyt,1-0,2019.12.30,17:10:38,1854,1903,+7,-7,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/LtFzMtkk,2019.12.30,thomas123456,wahab_muntu,1-0,2019.12.30,17:08:10,1847,1863,+7,-7,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/aDR5SQ6g,2019.12.30,wahab_muntu,thomas123456,1-0,2019.12.30,17:06:01,1856,1853,+7,-6,Standard,60+0,D02,Normal
Rated bullet game,https://lichess.org/MeJaqYii,2019.12.30,thomas123456,HOYGAN,1-0,2019.12.30,17:05:12,1847,1847,+6,-7,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/6jOknDw8,2019.12.30,HOYGAN,thomas123456,1-0,2019.12.30,17:03:16,1840,1853,+7,-6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/2Tsdqx4S,2019.12.30,thomas123456,HOYGAN,1-0,2019.12.30,17:01:56,1847,1846,+6,-6,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/Z8zo8Hl9,2019.12.30,HOYGAN,thomas123456,0-1,2019.12.30,17:00:33,1853,1840,-7,+7,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/FPRaqUFd,2019.12.30,slowacc,thomas123456,1-0,2019.12.30,16:58:23,1764,1848,+8,-8,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/TatjzVX9,2019.12.30,thomas123456,slowacc,0-1,2019.12.30,16:56:37,1856,1755,-8,+9,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/EOc34l1K,2019.12.30,slowacc,thomas123456,0-1,2019.12.30,16:54:26,1760,1851,-5,+5,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/df2u1dXr,2019.12.30,thomas123456,slowacc,1-0,2019.12.30,16:52:25,1846,1765,+5,-5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/BGM2c0eb,2019.12.30,slowacc,thomas123456,0-1,2019.12.30,16:50:23,1770,1841,-5,+5,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/3of1lqB7,2019.12.30,thomas123456,slowacc,1-0,2019.12.30,16:48:18,1836,1775,+5,-5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/uJT2JQOa,2019.12.30,slowacc,thomas123456,1-0,2019.12.30,16:46:12,1767,1843,+8,-7,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/xLzJXh7y,2019.12.30,thomas123456,slowacc,1-0,2019.12.30,16:44:14,1838,1773,+5,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/R9h6g36s,2019.12.30,slowacc,thomas123456,0-1,2019.12.30,16:42:07,1778,1832,-5,+6,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/XJz1PfSe,2019.12.30,thomas123456,slowacc,1-0,2019.12.30,16:40:06,1827,1784,+5,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/omtFHAah,2019.12.30,slowacc,thomas123456,0-1,2019.12.30,16:37:59,1789,1821,-5,+6,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/0ryxOnF6,2019.12.30,thomas123456,slowacc,0-1,2019.12.30,16:35:54,1828,1782,-7,+7,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/AafUqTQL,2019.12.30,benirimer,thomas123456,0-1,2019.12.30,16:33:32,1775,1822,-6,+6,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/hWRuPUYW,2019.12.30,VINaYakSHankaR7725,thomas123456,0-1,2019.12.30,16:31:16,1828,1816,-6,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/KEUlhRPQ,2019.12.30,thomas123456,kaltsu,1-0,2019.12.30,16:29:10,1810,1769,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/HudpfTV1,2019.12.30,thomas123456,VINaYakSHankaR7725,1-0,2019.12.30,16:27:03,1803,1842,+7,-7,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/kYkVLOKG,2019.12.30,thomas123456,ferdiERDOGAN,0-1,2019.12.30,16:24:48,1809,1822,-6,+6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/HsDA2YrE,2019.12.30,Louis_B,thomas123456,0-1,2019.12.30,16:22:37,1722,1804,-5,+5,Standard,60+0,C30,Time forfeit
Rated bullet game,https://lichess.org/6d24a36s,2019.12.30,repacoco,thomas123456,0-1,2019.12.30,16:20:27,1812,1797,-6,+7,Standard,60+0,C77,Time forfeit
Rated bullet game,https://lichess.org/6J49IOLf,2019.12.30,thomas123456,NetoDG,1-0,2019.12.30,16:18:12,1792,1685,+5,-4,Standard,60+0,B13,Time forfeit
Rated bullet game,https://lichess.org/WXAPBYTl,2019.12.30,yaev303,thomas123456,0-1,2019.12.30,16:16:07,1809,1785,-7,+7,Standard,60+0,C25,Time forfeit
Rated bullet game,https://lichess.org/tWNteKfH,2019.12.30,ajl1206,thomas123456,1-0,2019.12.30,16:13:40,1912,1790,+4,-5,Standard,60+0,C45,Time forfeit
Rated bullet game,https://lichess.org/rjPgQ7Yl,2019.12.30,thomas123456,Kosporvac,0-1,2019.12.30,16:11:14,1796,1804,-6,+6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/NatFAvpO,2019.12.30,thomas123456,SaulnierCiril,1-0,2019.12.30,16:09:41,1791,1670,+5,-4,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/F0PHR6yN,2019.12.30,thomas123456,Pekmez22,1-0,2019.12.30,16:07:37,1785,1783,+6,-6,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/7rwi5iTR,2019.12.30,yaco15,thomas123456,1/2-1/2,2019.12.30,16:05:05,1783,1785,+0,+0,Standard,60+0,D02,Time forfeit
Rated bullet game,https://lichess.org/IY8y1Cne,2019.12.30,thomas123456,gomanjaree,1-0,2019.12.30,16:02:58,1779,1763,+6,-6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/dxsfTyg0,2019.12.30,Ipherius,thomas123456,1-0,2019.12.30,16:00:29,2004,1782,+3,-3,Standard,60+0,D01,Time forfeit
Rated bullet game,https://lichess.org/zaiLLr1b,2019.12.30,Soltor,thomas123456,1-0,2019.12.30,15:58:36,1795,1788,+6,-6,Standard,60+0,C44,Normal
Rated bullet game,https://lichess.org/rRhdLlfr,2019.12.30,thomas123456,Vishwa108,0-1,2019.12.30,15:56:17,1792,1883,-4,+5,Standard,60+0,B12,Time forfeit
Rated bullet game,https://lichess.org/pWkLEvxg,2019.12.30,Vishwa108,thomas123456,1-0,2019.12.30,15:54:08,1878,1797,+5,-5,Standard,60+0,D35,Time forfeit
Rated bullet game,https://lichess.org/NftBU6XQ,2019.12.30,thomas123456,Vishwa108,0-1,2019.12.30,15:52:10,1802,1873,-5,+5,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/AVHe5PwL,2019.12.30,Vishwa108,thomas123456,1-0,2019.12.30,15:50:18,1868,1808,+5,-6,Standard,60+0,D06,Time forfeit
Rated bullet game,https://lichess.org/CEjC3Zcb,2019.12.30,thomas123456,Vishwa108,0-1,2019.12.30,15:48:28,1813,1862,-5,+6,Standard,60+0,B13,Normal
Rated bullet game,https://lichess.org/sn27MJlH,2019.12.30,Vishwa108,thomas123456,1-0,2019.12.30,15:47:08,1856,1819,+6,-6,Standard,60+0,D35,Normal
Rated bullet game,https://lichess.org/RI4d2twc,2019.12.30,thomas123456,Vishwa108,0-1,2019.12.30,15:44:57,1825,1850,-6,+6,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/5Ap8D6rl,2019.12.30,Vishwa108,thomas123456,1-0,2019.12.30,15:44:11,1844,1831,+6,-6,Standard,60+0,D30,Normal
Rated bullet game,https://lichess.org/3mi48aSf,2019.12.30,thomas123456,Vishwa108,1-0,2019.12.30,15:42:04,1824,1851,+7,-7,Standard,60+0,B10,Time forfeit
