Event,Site,Date,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination
Rated bullet game,https://lichess.org/SUkL4fOA,2022.12.14,thomas123456,NavisWorks,1-0,2022.12.14,16:10:44,2031,2016,+6,-5,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/yAUg3M4x,2022.12.14,handlittle,thomas123456,0-1,2022.12.14,16:09:55,2051,2025,-6,+6,Standard,60+0,C44,Normal
Rated bullet game,https://lichess.org/Ez38oRQb,2022.12.14,Sirfranc,thomas123456,1-0,2022.12.14,16:07:46,2062,2030,+5,-5,Standard,60+0,A01,Time forfeit
Rated bullet game,https://lichess.org/HQK3Ox8E,2022.12.14,thomas123456,Paul_Morphy_2800,1-0,2022.12.14,16:05:58,2024,2029,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/ieUrNDHc,2022.12.14,Paul_Morphy_2800,thomas123456,1-0,2022.12.14,16:03:34,2023,2030,+6,-6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/pmsnieSc,2022.12.14,thomas123456,PRAVIN_2006,1-0,2022.12.14,16:01:48,2025,1980,+5,-5,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/ueH9prKJ,2022.12.14,thomas123456,LordnHusoBoi,1-0,2022.12.14,15:59:30,2020,1990,+5,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/4YTFc6Cd,2022.12.14,thomas123456,maruntung_depok,0-1,2022.12.14,15:57:20,2025,2063,-5,+5,Standard,60+0,A06,Time forfeit
Rated bullet game,https://lichess.org/M0nl4o3S,2022.12.14,maruntung_depok,thomas123456,1-0,2022.12.14,15:56:05,2057,2030,+6,-5,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/x5HNCpcl,2022.12.14,thomas123456,maruntung_depok,0-1,2022.12.14,15:53:53,2036,2052,-6,+5,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/qDfFkzXw,2022.12.14,alejandroivan78,thomas123456,0-1,2022.12.14,15:48:46,2033,2030,-6,+6,Standard,60+0,C44,Time forfeit
Rated bullet game,https://lichess.org/bakZpa74,2022.12.14,SCILIEN,thomas123456,1-0,2022.12.14,15:46:52,2045,2035,+6,-5,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/OlDS6Vn0,2022.12.14,thomas123456,SCILIEN,1-0,2022.12.14,15:44:50,2029,2051,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/HByi7NcO,2022.12.14,SCILIEN,thomas123456,1-0,2022.12.14,15:42:49,2045,2035,+6,-6,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/vDp3Mb5D,2022.12.14,thomas123456,singharpit2492,1-0,2022.12.14,14:30:52,2028,2071,+7,-7,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/bYnjjPt7,2022.12.14,singharpit2492,thomas123456,1-0,2022.12.14,14:28:48,2065,2033,+6,-5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/nmef3kAy,2022.12.14,thomas123456,singharpit2492,0-1,2022.12.14,14:26:46,2039,2060,-6,+5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/ZY7pmwwt,2022.12.14,singharpit2492,thomas123456,0-1,2022.12.14,14:24:31,2066,2033,-6,+6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/FhugpYG7,2022.12.14,thomas123456,singharpit2492,1/2-1/2,2022.12.14,14:22:15,2032,2067,+1,-1,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/VHmGXHEp,2022.12.14,singharpit2492,thomas123456,1-0,2022.12.14,14:20:46,2061,2037,+6,-5,Standard,60+0,B08,Normal
Rated bullet game,https://lichess.org/dYQ4jaXG,2022.12.14,thomas123456,singharpit2492,0-1,2022.12.14,14:20:08,2043,2056,-6,+5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/DGoZKcxP,2022.12.14,thomas123456,Manuel_L,0-1,2022.12.14,14:18:04,2048,2101,-5,+5,Standard,60+0,C57,Time forfeit
Rated bullet game,https://lichess.org/5mvgAqr3,2022.12.14,Tailerannn,thomas123456,1-0,2022.12.14,14:16:14,2009,2054,+6,-6,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/XPZtjaVx,2022.12.14,hskrerik,thomas123456,0-1,2022.12.14,14:14:08,2066,2048,-7,+6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/Z4s4z4KV,2022.12.14,thomas123456,Troyanid,1-0,2022.12.14,14:12:01,2042,2065,+6,-6,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/cL7Nuhoc,2022.12.14,behnam-1991,thomas123456,0-1,2022.12.14,14:11:25,2020,2036,-6,+6,Standard,60+0,C46,Normal
Rated bullet game,https://lichess.org/QwSdS6GX,2022.12.14,thomas123456,sabervivir,0-1,2022.12.14,14:09:42,2042,2051,-6,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/su9e1YZq,2022.12.14,thomas123456,Krisengebiet,0-1,2022.12.14,12:00:30,2048,2039,-6,+6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/qM7D674P,2022.12.14,Krisengebiet,thomas123456,0-1,2022.12.14,11:59:22,2045,2042,-6,+6,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/IYsCOVcG,2022.12.14,thomas123456,Krisengebiet,0-1,2022.12.14,11:57:35,2048,2039,-6,+6,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/zjsbXLKl,2022.12.14,Krisengebiet,thomas123456,0-1,2022.12.14,11:55:37,2045,2042,-6,+6,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/APbahGBe,2022.12.12,thomas123456,ajedrezaqp,1-0,2022.12.12,17:29:20,2036,2027,+6,-5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/bUODtM2s,2022.12.12,siebzig,thomas123456,1-0,2022.12.12,17:27:24,2080,2041,+5,-5,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/amldqOvF,2022.12.12,nattyKing,thomas123456,1-0,2022.12.12,17:25:10,2060,2047,+5,-6,Standard,60+0,C20,Time forfeit
Rated bullet game,https://lichess.org/xymtLDbg,2022.12.12,thomas123456,nattyKing,0-1,2022.12.12,17:23:39,2052,2054,-5,+6,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/1tv3X3Wg,2022.12.12,jamesusername,thomas123456,0-1,2022.12.12,17:22:59,2009,2047,-5,+5,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/MdBzWYuT,2022.12.12,ashiqalbhr,thomas123456,1-0,2022.12.12,17:20:48,2052,2053,+6,-6,Standard,60+0,E61,Normal
Rated bullet game,https://lichess.org/RedO0udo,2022.12.12,thomas123456,va6am2019,0-1,2022.12.12,17:20:01,2060,1998,-7,+7,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/wl7WK5Mi,2022.12.12,thomas123456,dioke,1/2-1/2,2022.12.12,17:17:43,2060,2031,+0,+0,Standard,60+0,C57,Time forfeit
Rated bullet game,https://lichess.org/LPnpqw3v,2022.12.12,TheKid96,thomas123456,0-1,2022.12.12,17:17:35,2080,2054,-6,+6,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/3PITkNXd,2022.12.12,thomas123456,Aleymi2010,1-0,2022.12.12,17:15:47,2048,2043,+6,-6,Standard,60+0,B13,Time forfeit
Rated bullet game,https://lichess.org/CiaaLIQt,2022.12.12,SwiftChess,thomas123456,1-0,2022.12.12,17:13:17,2089,2053,+5,-5,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/DxsJv8Ay,2022.12.12,LobanovKirill,thomas123456,1-0,2022.12.12,17:12:05,2049,2059,+6,-6,Standard,60+0,A25,Normal
Rated bullet game,https://lichess.org/mib1r7FI,2022.12.12,thomas123456,ali_darwish99,1-0,2022.12.12,17:09:49,2054,2007,+5,-5,Standard,60+0,B13,Time forfeit
Rated bullet game,https://lichess.org/pRmTT65Y,2022.12.12,thomas123456,alex-scorpion,0-1,2022.12.12,17:07:49,2059,2112,-5,+5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/a8hj2nIB,2022.12.09,thomas123456,BudiceMelo,1-0,2022.12.09,17:02:22,2054,2038,+5,-5,Standard,60+0,B22,Time forfeit
Rated bullet game,https://lichess.org/UnZlrjGf,2022.12.09,anggawijaya123,thomas123456,1-0,2022.12.09,17:00:36,2048,2060,+6,-6,Standard,60+0,C22,Normal
Rated bullet game,https://lichess.org/nUCkCYKf,2022.12.09,SanekRasskazov1212,thomas123456,0-1,2022.12.09,16:58:42,2054,2054,-6,+6,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/pUnub29k,2022.12.09,isk104,thomas123456,1-0,2022.12.09,16:56:41,2029,2060,+7,-6,Standard,60+0,C60,Time forfeit
Rated bullet game,https://lichess.org/CoGSzNVX,2022.12.09,thomas123456,isk104,1-0,2022.12.09,16:54:50,2055,2035,+5,-6,Standard,60+0,C27,Normal
Rated bullet game,https://lichess.org/gxsstujr,2022.12.09,thomas123456,ziepes,1-0,2022.12.09,14:53:34,2050,1966,+5,-4,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/czUBPnnQ,2022.12.09,ziepes,thomas123456,0-1,2022.12.09,14:51:26,1971,2046,-5,+4,Standard,60+0,A02,Time forfeit
Rated bullet game,https://lichess.org/Ql0KAZiA,2022.12.09,thomas123456,ziepes,1-0,2022.12.09,14:49:20,2041,1975,+5,-4,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/rZuO7QXA,2022.12.09,ziepes,thomas123456,0-1,2022.12.09,14:47:17,1980,2036,-5,+5,Standard,60+0,A02,Time forfeit
Rated bullet game,https://lichess.org/U6nw001l,2022.12.09,thomas123456,ziepes,0-1,2022.12.09,14:46:15,2043,1973,-7,+7,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/9ninU55J,2022.12.09,ziepes,thomas123456,0-1,2022.12.09,14:45:00,1978,2038,-5,+5,Standard,60+0,A02,Normal
Rated bullet game,https://lichess.org/Ust8v9g2,2022.12.09,thomas123456,ziepes,1-0,2022.12.09,14:43:56,2033,1983,+5,-5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/dpp7D01Y,2022.12.09,orkanmiov1,thomas123456,1-0,2022.12.09,14:41:41,2072,2038,+6,-5,Standard,60+0,C44,Time forfeit
Rated bullet game,https://lichess.org/hOGC6bQX,2022.12.09,ChessFreak24h,thomas123456,1-0,2022.12.09,14:39:31,2036,2044,+9,-6,Standard,60+0,D08,Normal
Rated bullet game,https://lichess.org/grXloiSS,2022.12.09,balutsky,thomas123456,0-1,2022.12.09,14:37:25,1997,2039,-5,+5,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/l6mMRSLx,2022.12.09,thomas123456,balutsky,0-1,2022.12.09,14:35:18,2046,1990,-7,+7,Standard,60+0,C46,Normal
Rated bullet game,https://lichess.org/HDggON0U,2022.12.09,balutsky,thomas123456,1-0,2022.12.09,14:33:44,1983,2053,+7,-7,Standard,60+0,C25,Normal
Rated bullet game,https://lichess.org/PkLYl3dV,2022.12.09,ciclonite,thomas123456,0-1,2022.12.09,14:31:36,2074,2046,-6,+7,Standard,60+0,A20,Time forfeit
Rated bullet game,https://lichess.org/74VLvUPW,2022.12.09,thomas123456,ciclonite,0-1,2022.12.09,14:30:12,2052,2069,-6,+5,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/tD9Ccrp4,2022.12.09,thomas123456,gmkajtar,1-0,2022.12.09,14:27:41,2046,2059,+6,-6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/EbcdUQNK,2022.12.09,remifa,thomas123456,1-0,2022.12.09,14:25:52,2049,2052,+5,-6,Standard,60+0,C20,Time forfeit
Rated bullet game,https://lichess.org/WehYPOhK,2022.12.09,thomas123456,remifa,1/2-1/2,2022.12.09,14:23:43,2052,2049,+0,+0,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/gqVIJ2hQ,2022.12.09,remifa,thomas123456,1-0,2022.12.09,14:21:44,2043,2058,+6,-6,Standard,60+0,C20,Time forfeit
Rated bullet game,https://lichess.org/aikUlubf,2022.12.09,EkoR_KPCC,thomas123456,0-1,2022.12.09,14:19:25,2052,2052,-5,+6,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/hlsvcWBC,2022.12.09,thomas123456,Guillof27,1-0,2022.12.09,14:17:24,2048,1941,+4,-4,Standard,60+0,B43,Normal
Rated bullet game,https://lichess.org/hAW6H9ve,2022.12.09,thomas123456,EkoR_KPCC,0-1,2022.12.09,14:15:21,2054,2041,-6,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/tbzauIoN,2022.12.09,EkoR_KPCC,thomas123456,0-1,2022.12.09,14:13:06,2046,2048,-5,+6,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/raej0kvw,2022.12.09,thomas123456,ChessFreak24h,1-0,2022.12.09,14:11:07,2042,2040,+6,-10,Standard,60+0,B90,Time forfeit
Rated bullet game,https://lichess.org/KFPxToOS,2022.12.09,thomas123456,Jothamme,0-1,2022.12.09,14:04:41,2049,2002,-7,+7,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/MbarBu87,2022.12.09,thomas123456,YGuthrie,0-1,2022.12.09,14:03:54,2055,2021,-6,+7,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/K2LTSYba,2022.12.09,Firefly_spz,thomas123456,1-0,2022.12.09,13:58:05,2061,2061,+6,-6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/l8WIOETv,2022.12.09,gmkajtar,thomas123456,0-1,2022.12.09,13:55:59,2065,2055,-6,+6,Standard,60+0,A13,Time forfeit
Rated bullet game,https://lichess.org/1RJiJizt,2022.12.08,kuzama28,thomas123456,1-0,2022.12.08,16:04:45,2072,2060,+6,-5,Standard,60+0,C60,Time forfeit
Rated bullet game,https://lichess.org/qRT4iUNx,2022.12.08,thomas123456,kuzama28,0-1,2022.12.08,16:02:42,2066,2066,-6,+6,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/00BJGv7L,2022.12.08,kuzama28,thomas123456,0-1,2022.12.08,16:00:32,2072,2060,-6,+6,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/uGnzdDuF,2022.12.08,thomas123456,willzen89,0-1,2022.12.08,15:58:22,2063,2207,-3,+3,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/gXmk9VUU,2022.12.08,umutless197,thomas123456,1-0,2022.12.08,15:56:21,2089,2069,+5,-6,Standard,60+0,C23,Time forfeit
Rated bullet game,https://lichess.org/llmINC0G,2022.12.08,thomas123456,umutless197,0-1,2022.12.08,15:54:15,2074,2083,-5,+6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/6z7Gtwg9,2022.12.08,Chessfists,thomas123456,1-0,2022.12.08,10:55:23,2035,2081,+7,-7,Standard,60+0,C25,Time forfeit
Rated bullet game,https://lichess.org/o0jlDMNW,2022.12.08,thomas123456,cau09,1-0,2022.12.08,10:53:03,2075,2070,+6,-6,Standard,60+0,C47,Time forfeit
Rated bullet game,https://lichess.org/zO1HrBkL,2022.12.06,MindDestroyer14,thomas123456,1-0,2022.12.06,15:48:27,2123,2080,+5,-5,Standard,60+0,A04,Normal
Rated bullet game,https://lichess.org/EcVJ5SL5,2022.12.06,thomas123456,LazyPenguin1912,0-1,2022.12.06,15:46:20,2086,2071,-6,+6,Standard,60+0,C58,Time forfeit
Rated bullet game,https://lichess.org/l9B6q7Me,2022.12.06,thomas123456,Carrotbear,0-1,2022.12.06,15:44:51,2091,2096,-5,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/DuvmntLn,2022.12.06,mhrycts,thomas123456,0-1,2022.12.06,15:43:10,2047,2086,-5,+5,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/Mm99rfkw,2022.12.06,thomas123456,mhrycts,1-0,2022.12.06,15:42:12,2081,2052,+5,-5,Standard,60+0,C30,Normal
Rated bullet game,https://lichess.org/JEmHerTB,2022.12.06,mhrycts,thomas123456,1/2-1/2,2022.12.06,15:40:39,2051,2081,+1,+0,Standard,60+0,D00,Normal
Rated bullet game,https://lichess.org/FvYJitHG,2022.12.06,thomas123456,mhrycts,1-0,2022.12.06,15:38:58,2076,2057,+5,-6,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/0pmPBivS,2022.12.06,thomas123456,Carrotbear,1-0,2022.12.06,15:37:05,2070,2102,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/NL2aZEvz,2022.12.06,nick_cabansag,thomas123456,0-1,2022.12.06,15:04:27,2063,2064,-6,+6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/qT8uADG1,2022.12.06,thomas123456,fmh20807,0-1,2022.12.06,15:02:28,2069,2132,-5,+4,Standard,60+0,B32,Normal
Rated bullet game,https://lichess.org/fABi7sL9,2022.12.06,Save2007,thomas123456,1-0,2022.12.06,15:01:16,1997,2076,+7,-7,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/doGJrBfW,2022.12.06,OrigKwabena,thomas123456,1-0,2022.12.06,15:00:02,2071,2082,+6,-6,Standard,60+0,A03,Normal
Rated bullet game,https://lichess.org/neYaSwR2,2022.12.06,thomas123456,OrigKwabena,1-0,2022.12.06,14:57:57,2076,2077,+6,-6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/Zq7EABJI,2022.12.06,OrigKwabena,thomas123456,0-1,2022.12.06,14:56:26,2082,2070,-5,+6,Standard,60+0,A02,Normal
Rated bullet game,https://lichess.org/mj6AwnlF,2022.12.06,HardLuck64,thomas123456,0-1,2022.12.06,14:54:07,2125,2063,-7,+7,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/hz8zv9FL,2022.12.06,thomas123456,Foxplax,1-0,2022.12.06,14:46:40,2057,2087,+6,-8,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/sIouiox5,2022.12.06,thomas123456,matela,1-0,2022.12.06,14:44:20,2051,2041,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/kmUBrEIO,2022.12.06,queenkiller02,thomas123456,0-1,2022.12.06,14:42:46,1994,2046,-5,+5,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/dLTgqtYR,2022.12.06,thomas123456,Santo_Guti,0-1,2022.12.06,14:40:45,2051,2095,-5,+5,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/F6TAgGga,2022.12.06,thomas123456,Taha-77,0-1,2022.12.06,14:39:43,2057,2086,-6,+5,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/UNSPGvSQ,2022.12.06,Taha-77,thomas123456,1-0,2022.12.06,14:37:35,2080,2062,+6,-5,Standard,60+0,A01,Time forfeit
Rated bullet game,https://lichess.org/ertAk0M5,2022.12.06,abumohammad,thomas123456,1-0,2022.12.06,14:35:21,2133,2067,+4,-5,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/bgNdlWq1,2022.12.06,Lupo01,thomas123456,0-1,2022.12.06,14:33:10,2100,2060,-6,+7,Standard,60+0,A06,Time forfeit
Rated bullet game,https://lichess.org/WitsQpBv,2022.12.06,thomas123456,DepperitoR,0-1,2022.12.06,14:31:44,2064,2190,-4,+4,Standard,60+0,C01,Normal
Rated bullet game,https://lichess.org/9UzMVWl5,2022.12.06,thomas123456,digi_chess_raj_24,0-1,2022.12.06,14:29:53,2071,2018,-7,+7,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/3Ms9ppAb,2022.12.06,c-pawn12345,thomas123456,0-1,2022.12.06,14:27:49,2029,2065,-5,+6,Standard,60+0,D02,Time forfeit
Rated bullet game,https://lichess.org/YIgLgPGe,2022.12.06,thomas123456,tim_xd,1-0,2022.12.06,14:25:35,2059,2100,+6,-7,Standard,60+0,A06,Time forfeit
Rated bullet game,https://lichess.org/28PUgyQ4,2022.12.06,christian_jimenez_79,thomas123456,0-1,2022.12.06,14:23:43,2011,2054,-5,+5,Standard,60+0,C68,Time forfeit
Rated bullet game,https://lichess.org/dkSE9dGa,2022.12.06,StefanIlic,thomas123456,1/2-1/2,2022.12.06,14:21:27,2043,2054,+0,+0,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/jRLexW8d,2022.12.06,thomas123456,DjMaNYeTi,0-1,2022.12.06,14:19:22,2059,2113,-5,+5,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/AJVwnwHv,2022.12.06,Fakhrurrozi,thomas123456,0-1,2022.12.06,14:16:56,1996,2054,-5,+5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/cVJ8bZUA,2022.12.06,thomas123456,xirdneH_imiJ,0-1,2022.12.06,14:14:55,2059,2097,-5,+5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/NF5TROeY,2022.12.06,coyotekarl,thomas123456,1-0,2022.12.06,14:13:45,1969,2066,+7,-7,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/OuuEL52I,2022.12.06,thomas123456,coyotekarl,1-0,2022.12.06,14:11:39,2062,1973,+4,-4,Standard,60+0,B34,Time forfeit
Rated bullet game,https://lichess.org/wd9kmDq4,2022.12.06,coyotekarl,thomas123456,1/2-1/2,2022.12.06,14:09:30,1972,2064,+1,-2,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/iFbyVzjk,2022.12.06,thomas123456,Checkiecheck,0-1,2022.12.06,14:07:56,2069,2069,-5,+5,Standard,60+0,B32,Normal
Rated bullet game,https://lichess.org/bIKxRcXb,2022.12.06,thomas123456,MLUNGU,0-1,2022.12.06,14:06:51,2075,2102,-6,+5,Standard,60+0,B27,Normal
Rated bullet game,https://lichess.org/f3TGM13E,2022.12.06,Tutinjo,thomas123456,0-1,2022.12.06,14:05:16,2217,2066,-8,+9,Standard,60+0,A00,Normal
